drug_ugmL,recovery,method
0.01,0.7140000000011553,standard
0.011536243922876147,0.7116415516529921,standard
0.013308492384809684,0.709283103304829,standard
0.01535300143969042,0.7069246549566659,standard
0.017711596955653736,0.7045662066085028,standard
0.020432530274409208,0.7022077582603398,standard
0.02357146532071361,0.6998493099121766,standard
0.027192617355936824,0.6974908615640136,standard
0.03137006667195227,0.6951324132158505,standard
0.03618927410045289,0.6927739648676874,standard
0.04174882934146488,0.6904155165195243,standard
0.048162467877766756,0.6880570681713611,standard
0.05556139773656044,0.685698619823198,standard
0.06409698369849,0.6833401714750349,standard
0.07394384386663967,0.6809817231268719,standard
0.08530342194406246,0.6786232747787088,standard
0.09840810830027302,0.6762648264305458,standard
0.11352599413407624,0.6739063780823826,standard
0.130966355991771,0.6715479297342195,standard
0.15108598284113026,0.6691894813860564,standard
0.17429647513827587,0.6668310330378933,standard
0.20107266520926684,0.6644725846897301,standard
0.2319623312076915,0.662114136341567,standard
0.2675974033730915,0.659755687993404,standard
0.3087068918440264,0.6573972396452409,standard
0.35613180049856336,0.6550387912970779,standard
0.4108423319244492,0.6526803429489147,standard
0.4739577354923692,0.6503218946007516,standard
0.5467692045773984,0.6479634462525885,standard
0.6307662913521838,0.6456049979044254,standard
0.7276673795366755,0.6432465495562623,standard
0.8394548385055184,0.6408881012080991,standard
0.9684155779238265,0.6385296528599361,standard
1.1171878325642335,0.636171204511773,standard
1.2888151344130314,0.63381275616361,standard
1.4868085762083136,0.6314543078154469,standard
1.7152186401763296,0.6290958594672837,standard
1.9787180614138071,0.6267374111191206,standard
2.2826974211070303,0.6243789627709575,standard
2.6333754252011032,0.6220205144227944,standard
3.037926124562762,0.6196620660746314,standard
3.504625679263385,0.6173036177264682,standard
4.043021669435791,0.6149451693783051,standard
4.664128416408523,0.6125867210301421,standard
5.380652309930676,0.610228272681979,standard
6.207251751154727,0.6078698243338159,standard
7.160837029202104,0.6055113759856527,standard
8.260916266083926,0.6031529276374896,standard
9.529994507199941,0.6007944792893265,standard
10.994034121872838,0.5852793824332204,standard
12.682985932634852,0.5630808510823899,standard
14.631401938928247,0.5408823197315594,standard
16.879142170111926,0.5186837883807289,standard
19.472190128331622,0.4964852570298985,standard
22.463593503305457,0.474286725679068,standard
25.91454940384677,0.4520881943282375,standard
29.895656307420097,0.42988966297740705,standard
34.488358339686904,0.40769113162657655,standard
39.7866114306188,0.38549260027574606,standard
45.898805432831075,0.36329406892491556,standard
52.94998152417722,0.33759468711447727,standard
61.08439025746937,0.3066686509503296,standard
70.4684425890326,0.2757426147861819,standard
81.2941142572274,0.24481657862203426,standard
93.78287315655388,0.21389054245788658,standard
108.19021005221592,0.18864300419590788,standard
124.81086532295697,0.1680256467532915,standard
143.98485865908756,0.14740828931067518,standard
166.104445069208,0.12679093186805881,standard
191.62213949923657,0.10617357442544247,standard
221.0599742286593,0.0927781084914456,standard
255.02017842865286,0.08246942977018389,standard
294.1974983608337,0.07216075104892217,standard
339.3934102590533,0.06185207232766045,standard
391.5325166565215,0.05154339360639873,standard
451.68146158872,0.04123471488513701,standard
521.0707516328688,0.030926036163875292,standard
601.1199291913189,0.020617357442613574,standard
693.4666130053092,0.010308678721351855,standard
800.0000000000003,9.01362318117549e-14,standard
